,lesionTipo,lesionRango,nAnimal,lesionPromedio,sexoAnimales,bursometro,condicionHigado,integridadintestinal,fecha,semana,granja,edadEnDias,ciclo,noGalpon,planVacuna,influenzaVacuna,newcastleVacuna,gumboroVacuna
28,Quemadura de Amoniaco,0-1,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
29,Aspergilosis,0-1,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
30,Ascitis,0-1,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
31,Ascaridios y Gusanos Redondos,0-1,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
32,Hemorragias Petequiaeles,0-1,1,0,M,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
33,Pierna Palida,0-1,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
34,Rasguños,0-1,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
35,Quemadura Cojinete,0-3,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
36,Lesion Cavidad Oral,0-1,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
37,Retención Saco Vitelino,0-1,2,1,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
38,Atrofia del Timo,0-2,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
39,Daño de Bursa,0-3,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
40,Necrosis Cabeza Femur,0-1,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
41,Discondroplasia Tibial,0-3,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
42,Traqueitis,0-3,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
43,Aerosaculitis,0-4,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
44,Cardiovascular,0-3,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
45,Erosión Molleja,0-3,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
46,Comedor de Cama,0-1,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
47,Proventriculitis,0-3,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
48,Intestinos Engrosados,0-1,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
49,Intestinos Adelgazados,0-2,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
50,E. Acervulina,0-4,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
51,E. Maxima,0-4,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
52,E. Tenella,0-4,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
53,Exceso de Moco,0-2,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
54,Exceso de Fluido,0-1,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
55,Descamación Celular,0-2,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
56,Tenias,0-1,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
57,Enteritis Necrotica,0-1,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
58,Pasaje de Alimento,0-2,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
59,Gas Cecal,0-2,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
60,Hiperemia,0-1,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
61,Quemadura de Amoniaco,0-1,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
62,Aspergilosis,0-1,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
63,Ascitis,0-1,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
64,Ascaridios y Gusanos Redondos,0-1,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
65,Hemorragias Petequiaeles,0-1,2,0,H,3,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
66,Pierna Palida,0-1,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
67,Rasguños,0-1,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
68,Quemadura Cojinete,0-3,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
69,Lesion Cavidad Oral,0-1,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
70,Retención Saco Vitelino,0-1,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
71,Atrofia del Timo,0-2,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
72,Daño de Bursa,0-3,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
73,Necrosis Cabeza Femur,0-1,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
74,Discondroplasia Tibial,0-3,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
75,Traqueitis,0-3,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
76,Aerosaculitis,0-4,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
77,Cardiovascular,0-3,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
78,Erosión Molleja,0-3,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
79,Comedor de Cama,0-1,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
80,Proventriculitis,0-3,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
81,Intestinos Engrosados,0-1,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
82,Intestinos Adelgazados,0-2,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
83,E. Acervulina,0-4,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
84,E. Maxima,0-4,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
85,E. Tenella,0-4,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
86,Exceso de Moco,0-2,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
87,Exceso de Fluido,0-1,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
88,Descamación Celular,0-2,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
89,Tenias,0-1,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
90,Enteritis Necrotica,0-1,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
91,Pasaje de Alimento,0-2,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
92,Gas Cecal,0-2,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
93,Hiperemia,0-1,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
94,Quemadura de Amoniaco,0-1,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
95,Aspergilosis,0-1,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
96,Ascitis,0-1,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
97,Ascaridios y Gusanos Redondos,0-1,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
98,Hemorragias Petequiaeles,0-1,3,0,M,0,0,10,2020-12-30,1,Fortuna,9,35.0,1.0,P1T3,Trovac,Merial,Avipro
99,Pierna Palida,0-1,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
100,Rasguños,0-1,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
101,Quemadura Cojinete,0-3,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
102,Lesion Cavidad Oral,0-1,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
103,Retención Saco Vitelino,0-1,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
104,Atrofia del Timo,0-2,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
105,Daño de Bursa,0-3,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
106,Necrosis Cabeza Femur,0-1,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
107,Discondroplasia Tibial,0-3,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
108,Traqueitis,0-3,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
109,Aerosaculitis,0-4,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
110,Cardiovascular,0-3,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
111,Erosión Molleja,0-3,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
112,Comedor de Cama,0-1,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
113,Proventriculitis,0-3,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
114,Intestinos Engrosados,0-1,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
115,Intestinos Adelgazados,0-2,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
116,E. Acervulina,0-4,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
117,E. Maxima,0-4,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
118,E. Tenella,0-4,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
119,Exceso de Moco,0-2,1,1,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
120,Exceso de Fluido,0-1,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
121,Descamación Celular,0-2,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
122,Tenias,0-1,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
123,Enteritis Necrotica,0-1,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
124,Pasaje de Alimento,0-2,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
125,Gas Cecal,0-2,1,1,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
126,Hiperemia,0-1,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
127,Quemadura de Amoniaco,0-1,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
128,Aspergilosis,0-1,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
129,Ascitis,0-1,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
130,Ascaridios y Gusanos Redondos,0-1,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
131,Hemorragias Petequiaeles,0-1,1,0,H,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
132,Pierna Palida,0-1,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
133,Rasguños,0-1,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
134,Quemadura Cojinete,0-3,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
135,Lesion Cavidad Oral,0-1,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
136,Retención Saco Vitelino,0-1,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
137,Atrofia del Timo,0-2,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
138,Daño de Bursa,0-3,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
139,Necrosis Cabeza Femur,0-1,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
140,Discondroplasia Tibial,0-3,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
141,Traqueitis,0-3,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
142,Aerosaculitis,0-4,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
143,Cardiovascular,0-3,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
144,Erosión Molleja,0-3,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
145,Comedor de Cama,0-1,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
146,Proventriculitis,0-3,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
147,Intestinos Engrosados,0-1,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
148,Intestinos Adelgazados,0-2,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
149,E. Acervulina,0-4,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
150,E. Maxima,0-4,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
151,E. Tenella,0-4,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
152,Exceso de Moco,0-2,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
153,Exceso de Fluido,0-1,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
154,Descamación Celular,0-2,2,1,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
155,Tenias,0-1,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
156,Enteritis Necrotica,0-1,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
157,Pasaje de Alimento,0-2,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
158,Gas Cecal,0-2,2,1,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
159,Hiperemia,0-1,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
160,Quemadura de Amoniaco,0-1,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
161,Aspergilosis,0-1,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
162,Ascitis,0-1,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
163,Ascaridios y Gusanos Redondos,0-1,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
164,Hemorragias Petequiaeles,0-1,2,0,M,5,0,8,2020-12-30,1,Miramar,16,35.0,1.0,P1T3,Trovac,Merial,Avipro
165,Pierna Palida,0-1,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
166,Rasguños,0-1,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
167,Quemadura Cojinete,0-3,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
168,Lesion Cavidad Oral,0-1,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
169,Retención Saco Vitelino,0-1,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
170,Atrofia del Timo,0-2,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
171,Daño de Bursa,0-3,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
172,Necrosis Cabeza Femur,0-1,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
173,Discondroplasia Tibial,0-3,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
174,Traqueitis,0-3,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
175,Aerosaculitis,0-4,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
176,Cardiovascular,0-3,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
177,Erosión Molleja,0-3,1,1,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
178,Comedor de Cama,0-1,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
179,Proventriculitis,0-3,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
180,Intestinos Engrosados,0-1,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
181,Intestinos Adelgazados,0-2,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
182,E. Acervulina,0-4,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
183,E. Maxima,0-4,1,1,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
184,E. Tenella,0-4,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
185,Exceso de Moco,0-2,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
186,Exceso de Fluido,0-1,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
187,Descamación Celular,0-2,1,1,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
188,Tenias,0-1,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
189,Enteritis Necrotica,0-1,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
190,Pasaje de Alimento,0-2,1,1,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
191,Gas Cecal,0-2,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
192,Hiperemia,0-1,1,0,M,7,T,8,2020-12-30,1,Delicias,23,35.0,1.0,P1T3,Trovac,Merial,Avipro
